Wall time,Step,Value
1762898147.33558,22241,0.0
1762898148.33558,22242,0.0
1762898149.33558,22243,0.0
1762898150.33558,22244,0.0
1762898151.33558,22245,0.0
1762898152.33558,22246,0.0
1762898153.33558,22247,0.0
1762898154.33558,22248,0.0
1762898155.33558,22249,0.0
1762898156.33558,22250,0.0
1762898157.33558,22251,0.0
1762898158.33558,22252,0.0
1762898159.33558,22253,0.0
1762898160.33558,22254,0.0
1762898161.33558,22255,0.0
1762898162.33558,22256,0.0
1762898163.33558,22257,0.0
1762898164.33558,22258,0.0
1762898165.33558,22259,0.0
1762898166.33558,22260,0.0
1762898167.33558,22261,0.0
1762898168.33558,22262,0.0
1762898169.33558,22263,0.0
1762898170.33558,22264,0.0
1762898171.33558,22265,0.0
1762898172.33558,22266,0.0
1762898173.33558,22267,0.0
1762898174.33558,22268,0.0
1762898175.33558,22269,0.0
1762898176.33558,22270,0.0
1762898177.33558,22271,0.0
1762898178.33558,22272,0.0
1762898179.33558,22273,0.0
1762898180.33558,22274,0.0
1762898181.33558,22275,0.0
1762898182.33558,22276,0.0
1762898183.33558,22277,0.0
1762898184.33558,22278,0.0
1762898185.33558,22279,0.0
1762898186.33558,22280,0.0
1762898187.33558,22281,0.0
1762898188.33558,22282,0.0
1762898189.33558,22283,0.0
1762898190.33558,22284,0.0
1762898191.33558,22285,0.0
1762898192.33558,22286,0.0
1762898193.33558,22287,0.0
1762898194.33558,22288,0.0
1762898195.33558,22289,0.0
1762898196.33558,22290,0.0
1762898197.33558,22291,0.0
1762898198.33558,22292,0.0
1762898199.33558,22293,0.0
1762898200.33558,22294,0.0
1762898201.33558,22295,0.0
1762898202.33558,22296,0.0
1762898203.33558,22297,0.0
1762898204.33558,22298,0.0
1762898205.33558,22299,0.0
1762898206.33558,22300,0.0
1762898207.33558,22301,0.0
1762898208.33558,22302,0.0
1762898209.33558,22303,0.0
1762898210.33558,22304,0.0
1762898211.33558,22305,0.0
1762898212.33558,22306,0.0
1762898213.33558,22307,0.0
1762898214.33558,22308,0.0
1762898215.33558,22309,0.0
1762898216.33558,22310,0.0
1762898217.33558,22311,0.0
1762898218.33558,22312,0.0
1762898219.33558,22313,0.0
1762898220.33558,22314,0.0
1762898221.33558,22315,0.0
1762898222.33558,22316,0.0
1762898223.33558,22317,0.0
1762898224.33558,22318,0.0
1762898225.33558,22319,0.0
1762898226.33558,22320,0.0
1762898227.33558,22321,0.0
1762898228.33558,22322,0.0
1762898229.33558,22323,0.0
1762898230.33558,22324,0.0
1762898231.33558,22325,0.0
1762898232.33558,22326,0.0
1762898233.33558,22327,0.0
1762898234.33558,22328,0.0
1762898235.33558,22329,0.0
1762898236.33558,22330,0.0
1762898237.33558,22331,0.0
1762898238.33558,22332,0.0
1762898239.33558,22333,0.0
1762898240.33558,22334,0.0
1762898241.33558,22335,0.0
1762898242.33558,22336,0.0
1762898243.33558,22337,0.0
1762898244.33558,22338,0.0
1762898245.33558,22339,0.0
1762898246.33558,22340,0.0
1762898247.33558,22341,0.0
1762898248.33558,22342,0.0
1762898249.33558,22343,0.0
1762898250.33558,22344,0.0
1762898251.33558,22345,0.0
1762898252.33558,22346,0.0
1762898253.33558,22347,0.0
1762898254.33558,22348,0.0
1762898255.33558,22349,0.0
1762898256.33558,22350,0.0
1762898257.33558,22351,0.0
1762898258.33558,22352,0.0
1762898259.33558,22353,0.0
1762898260.33558,22354,0.0
1762898261.33558,22355,0.0
1762898262.33558,22356,0.0
1762898263.33558,22357,0.0
1762898264.33558,22358,0.0
1762898265.33558,22359,0.0
1762898266.33558,22360,0.0
1762898267.33558,22361,0.0
1762898268.33558,22362,0.0
1762898269.33558,22363,0.0
1762898270.33558,22364,0.0
1762898271.33558,22365,0.0
1762898272.33558,22366,0.0
1762898273.33558,22367,0.0
1762898274.33558,22368,0.0
1762898275.33558,22369,0.0
1762898276.33558,22370,0.0
1762898277.33558,22371,0.0
1762898278.33558,22372,0.0
1762898279.33558,22373,0.0
1762898280.33558,22374,0.0
1762898281.33558,22375,0.0
1762898282.33558,22376,0.0
1762898283.33558,22377,0.0
1762898284.33558,22378,0.0
1762898285.33558,22379,0.0
1762898286.33558,22380,0.0
1762898287.33558,22381,0.0
1762898288.33558,22382,0.0
1762898289.33558,22383,0.0
1762898290.33558,22384,0.0
1762898291.33558,22385,0.0
1762898292.33558,22386,0.0
1762898293.33558,22387,0.0
1762898294.33558,22388,0.0
1762898295.33558,22389,0.0
1762898296.33558,22390,0.0
1762898297.33558,22391,0.0
1762898298.33558,22392,0.0
1762898299.33558,22393,0.0
1762898300.33558,22394,0.0
1762898301.33558,22395,0.0
1762898302.33558,22396,0.0
1762898303.33558,22397,0.0
1762898304.33558,22398,0.0
1762898305.33558,22399,0.0
1762898306.33558,22400,0.0
1762898307.33558,22401,0.0
1762898308.33558,22402,0.0
1762898309.33558,22403,0.0
1762898310.33558,22404,0.0
1762898311.33558,22405,0.0
1762898312.33558,22406,0.0
1762898313.33558,22407,0.0
1762898314.33558,22408,0.0
1762898315.33558,22409,0.0
1762898316.33558,22410,0.0
1762898317.33558,22411,0.0
1762898318.33558,22412,0.0
1762898319.33558,22413,0.0
1762898320.33558,22414,0.0
1762898321.33558,22415,0.0
1762898322.33558,22416,0.0
1762898323.33558,22417,0.0
1762898324.33558,22418,0.0
1762898325.33558,22419,0.0
1762898326.33558,22420,0.0
1762898327.33558,22421,0.0
1762898328.33558,22422,0.0
1762898329.33558,22423,0.0
1762898330.33558,22424,0.0
1762898331.33558,22425,0.0
1762898332.33558,22426,0.0
1762898333.33558,22427,0.0
1762898334.33558,22428,0.0
1762898335.33558,22429,0.0
1762898336.33558,22430,0.0
1762898337.33558,22431,0.0
1762898338.33558,22432,0.0
1762898339.33558,22433,0.0
1762898340.33558,22434,0.0
1762898341.33558,22435,0.0
1762898342.33558,22436,0.0
1762898343.33558,22437,0.0
1762898344.33558,22438,0.0
1762898345.33558,22439,0.0
1762898346.33558,22440,0.0
1762898347.33558,22441,0.0
1762898348.33558,22442,0.0
1762898349.33558,22443,0.0
1762898350.33558,22444,0.0
1762898351.33558,22445,0.0
1762898352.33558,22446,0.0
1762898353.33558,22447,0.0
1762898354.33558,22448,0.0
1762898355.33558,22449,0.0
1762898356.33558,22450,0.0
1762898357.33558,22451,0.0
1762898358.33558,22452,0.0
1762898359.33558,22453,0.0
1762898360.33558,22454,0.0
1762898361.33558,22455,0.0
1762898362.33558,22456,0.0
1762898363.33558,22457,0.0
1762898364.33558,22458,0.0
1762898365.33558,22459,0.0
1762898366.33558,22460,0.0
1762898367.33558,22461,0.0
1762898368.33558,22462,0.0
1762898369.33558,22463,0.0
1762898370.33558,22464,0.0
1762898371.33558,22465,0.0
1762898372.33558,22466,0.0
1762898373.33558,22467,0.0
1762898374.33558,22468,0.0
1762898375.33558,22469,0.0
1762898376.33558,22470,0.0
1762898377.33558,22471,0.0
1762898378.33558,22472,0.0
1762898379.33558,22473,0.0
1762898380.33558,22474,0.0
1762898381.33558,22475,0.0
1762898382.33558,22476,0.0
1762898383.33558,22477,0.0
1762898384.33558,22478,0.0
1762898385.33558,22479,0.0
1762898386.33558,22480,0.0
1762898387.33558,22481,0.0
1762898388.33558,22482,0.0
1762898389.33558,22483,0.0
1762898390.33558,22484,0.0
1762898391.33558,22485,0.0
1762898392.33558,22486,0.0
1762898393.33558,22487,0.0
1762898394.33558,22488,0.0
1762898395.33558,22489,0.0
1762898396.33558,22490,0.0
1762898397.33558,22491,0.0
1762898398.33558,22492,0.0
1762898399.33558,22493,0.0
1762898400.33558,22494,0.0
1762898401.33558,22495,0.0
1762898402.33558,22496,0.0
1762898403.33558,22497,0.0
1762898404.33558,22498,0.0
1762898405.33558,22499,0.0
1762898406.33558,22500,0.0
1762898407.33558,22501,0.0
1762898408.33558,22502,0.0
1762898409.33558,22503,0.0
1762898410.33558,22504,0.0
1762898411.33558,22505,0.0
1762898412.33558,22506,0.0
1762898413.33558,22507,0.0
1762898414.33558,22508,0.0
1762898415.33558,22509,0.0
1762898416.33558,22510,0.0
1762898417.33558,22511,0.0
1762898418.33558,22512,0.0
1762898419.33558,22513,0.0
